
Host: skystd27.palmetto.clemson.edu

Timers On : Wed Dec  8 22:18:42 2021
Timers Off: Thu Dec  9 08:07:24 2021

Wall Time:    35321.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | DFH: compute_K                :   3003.817u      0.550s   1809.174w   1116 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w   1116 calls
HF: Form F                          :      2.250u      0.033s      1.380w   1116 calls
HF: Form D                          :      2.083u      0.033s      1.211w   1116 calls
HF: DIIS                            :     57.917u     16.600s     45.215w   1115 calls
| DIISManager::add_entry            :      1.650u      3.083s      2.909w   1041 calls
| DIISManager::extrapolate          :      7.167u     13.483s     12.570w   1041 calls
| | bMatrix setup                   :      2.600u      8.350s      6.659w   1041 calls
| | bMatrix pseudoinverse           :      0.067u      0.017s      0.077w   1041 calls
| | New vector                      :      4.467u      5.117s      5.825w   1041 calls
HF: Form C                          :    154.400u      0.033s     92.763w   1115 calls
DFMP2 Singles                       :      0.733u      0.000s      0.527w     75 calls
DFMP2 Aia                           :   1976.967u    134.883s   1288.958w     75 calls
| Libint2ERI::Libint2ERI            :     32.833u      0.933s     20.285w     75 calls
| DFMP2 (A|mn)                      :   1605.483u      0.250s    966.246w     75 calls
| DFMP2 (A|mn)C_mi                  :    133.133u      0.167s     80.296w     75 calls
| DFMP2 (A|mi)C_na                  :    112.650u      0.117s     67.913w     75 calls
| DFMP2 Aia Write                   :      0.217u     14.667s      8.938w     75 calls
DFMP2 iaB                           :    533.783u     82.167s    371.469w     75 calls
| DFMP2 Metric                      :    138.667u      1.200s     84.582w     75 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.020w     75 calls
| DFMP2 Aia Read                    :      0.233u      9.933s      6.128w     75 calls
| DFMP2 (ia|A)(A|Q)                 :    195.367u      0.050s    117.666w     75 calls
| DFMP2 Bia Write                   :      0.183u     15.483s      9.394w     75 calls
| DFMP2 Bia Read                    :      0.217u      9.567s      5.930w     75 calls
| DFMP2 (ia|B)(B|Q)                 :    192.700u      0.833s    116.585w     75 calls
| DFMP2 Cia Write                   :      0.150u     17.117s     10.344w     75 calls
DFMP2 aiB                           :      4.283u     36.733s     24.776w     75 calls
DFMP2 Tij                           :   9142.083u    326.967s   5701.891w     75 calls
| DFMP2 Bia Read                    :      8.250u      9.900s     10.941w    150 calls
| DFMP2 Cia Read                    :      0.133u      9.467s      5.811w     75 calls
| DFMP2 I                           :   3443.783u      5.583s   2076.949w     75 calls
| DFMP2 T2                          :    645.483u      3.367s    390.559w     75 calls
| DFMP2 G                           :   3457.767u      1.933s   2083.437w     75 calls
| DFMP2 Pab                         :   1517.467u      1.317s    914.829w     75 calls
| DFMP2 Gia Write                   :      0.183u     14.633s      8.894w     75 calls
DFMP2 Tab                           :   4341.933u    287.833s   2787.463w     75 calls
| DFMP2 Bai Read                    :      0.133u      9.533s      5.858w     75 calls
| DFMP2 Qai Read                    :      8.083u      0.000s      4.878w     75 calls
| DFMP2 I                           :   3392.350u      5.900s   2046.115w     75 calls
| DFMP2 T2                          :    586.117u      6.400s    356.609w     75 calls
| DFMP2 Pij                         :    295.800u      0.167s    178.225w     75 calls
DFMP2 gamma                         :    204.767u     34.750s    144.337w     75 calls
| DFMP2 Gia Read                    :      0.217u      9.467s      5.763w     75 calls
| DFMP2 Cia Read                    :      0.100u     10.333s      6.316w     75 calls
| DFMP2 g                           :    200.983u      0.050s    121.081w     75 calls
DFMP2 Gia                           :     31.667u     51.267s     50.024w     75 calls
| DFMP2 Gia Read                    :      0.167u     10.050s      6.181w     75 calls
| DFMP2 aiG Write                   :      0.367u     13.883s      8.675w     75 calls
DFMP2 AB^x                          :     18.717u      0.533s     11.679w     75 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.023w     75 calls
DFMP2 Amn^x                         :   6492.333u    115.750s   3977.959w     75 calls
| Libint2ERI::Libint2ERI            :     33.300u      1.000s     20.618w     75 calls
DFMP2 L                             :   3296.967u    195.867s   2102.829w     75 calls
| Libint2ERI::Libint2ERI            :     33.200u      0.950s     20.521w     75 calls
DFMP2 P                             :      0.233u      0.350s      0.338w     75 calls
DFMP2 W                             :      1.083u      0.217s      0.866w     75 calls
DFMP2 Z                             :  12892.633u    463.483s   8042.026w     75 calls
| DFH: sparsity prep                :     65.250u      1.733s     40.392w     75 calls
