
Host: skystd41.palmetto.clemson.edu

Timers On : Tue Nov 30 17:03:00 2021
Timers Off: Sat Dec  4 19:11:31 2021

Wall Time:   353310.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | DFH: compute_JK()               :  31897.683u   1080.033s  19858.392w  13699 calls
| | | DFH: Grabbing AOs             :      0.067u      0.000s      0.031w  13699 calls
| | | DFH: compute_J                :   5792.483u     40.283s   3511.265w  13699 calls
| | | DFH: compute_K                :  25798.467u     18.183s  15548.368w  13699 calls
| JK: AO2USO                        :      0.017u      0.017s      0.023w  13699 calls
HF: Form F                          :     24.250u      0.350s     15.519w  13699 calls
HF: Form D                          :     17.100u      0.467s     11.068w  13699 calls
HF: DIIS                            :    652.350u    151.367s    485.321w  13698 calls
| DIISManager::add_entry            :     30.217u     23.367s     33.581w  12699 calls
| DIISManager::extrapolate          :    101.150u    121.783s    133.636w  12699 calls
| | bMatrix setup                   :     47.067u     69.667s     69.774w  12699 calls
| | bMatrix pseudoinverse           :      1.483u      0.183s      0.990w  12699 calls
| | New vector                      :     52.417u     51.900s     62.745w  12699 calls
HF: Form C                          :   1657.983u     20.767s   1011.428w  13698 calls
DFMP2 Singles                       :     10.200u      0.167s      6.258w   1000 calls
DFMP2 Aia                           :  21251.617u   1516.950s  13920.993w   1000 calls
| Libint2ERI::Libint2ERI            :    275.733u      1.350s    166.616w   1000 calls
| DFMP2 (A|mn)                      :  17490.383u      5.600s  10530.064w   1000 calls
| DFMP2 (A|mn)C_mi                  :   1237.783u      1.933s    746.568w   1000 calls
| DFMP2 (A|mi)C_na                  :   1139.217u      0.483s    686.358w   1000 calls
| DFMP2 Aia Write                   :      7.483u    145.733s     92.393w   1000 calls
DFMP2 iaB                           :   5318.650u    843.333s   3715.610w   1000 calls
| DFMP2 Metric                      :   1440.883u     16.083s    878.505w   1000 calls
| | Libint2ERI::Libint2ERI          :      0.367u      0.000s      0.293w   1000 calls
| DFMP2 Aia Read                    :      3.967u    102.733s     64.472w   1000 calls
| DFMP2 (ia|A)(A|Q)                 :   1915.250u      4.983s   1156.202w   1000 calls
| DFMP2 Bia Write                   :      4.883u    150.483s     93.849w   1000 calls
| DFMP2 Bia Read                    :      3.283u     97.183s     60.471w   1000 calls
| DFMP2 (ia|B)(B|Q)                 :   1877.567u      5.667s   1133.895w   1000 calls
| DFMP2 Cia Write                   :      4.650u    170.717s    105.710w   1000 calls
DFMP2 aiB                           :     45.267u    351.717s    241.886w   1000 calls
DFMP2 Tij                           :  77644.900u   3054.050s  48592.142w   1000 calls
| DFMP2 Bia Read                    :     86.317u    100.783s    112.727w   2000 calls
| DFMP2 Cia Read                    :      4.950u     96.967s     61.124w   1000 calls
| DFMP2 I                           :  28959.867u     38.733s  17459.455w   1000 calls
| DFMP2 T2                          :   5625.417u     17.967s   3396.982w   1000 calls
| DFMP2 G                           :  28979.467u      6.450s  17454.797w   1000 calls
| DFMP2 Pab                         :  13342.700u      4.833s   8038.808w   1000 calls
| DFMP2 Gia Write                   :      7.467u    167.367s    104.916w   1000 calls
DFMP2 Tab                           :  36782.283u   2566.350s  23691.809w   1000 calls
| DFMP2 Bai Read                    :      2.600u     95.217s     59.132w   1000 calls
| DFMP2 Qai Read                    :     82.350u      2.750s     51.126w   1000 calls
| DFMP2 I                           :  28699.333u     10.300s  17285.077w   1000 calls
| DFMP2 T2                          :   5180.800u      4.867s   3121.464w   1000 calls
| DFMP2 Pij                         :   2269.583u      0.717s   1367.214w   1000 calls
DFMP2 gamma                         :   1955.583u    360.400s   1396.463w   1000 calls
| DFMP2 Gia Read                    :      2.483u     95.400s     59.005w   1000 calls
| DFMP2 Cia Read                    :      2.367u    104.883s     64.533w   1000 calls
| DFMP2 g                           :   1912.533u      4.783s   1154.171w   1000 calls
DFMP2 Gia                           :    297.433u    531.650s    501.072w   1000 calls
